,Model,Accuracy,F1-score,ROC AUC
5,AutoGluon Ensemble,0.9162011173184358,0.8888888888888888,0.9056356487549149
1,XGBoost,0.8268156424581006,0.7703703703703704,0.8117955439056357
4,Manual Stacking,0.8268156424581006,0.7703703703703704,0.8117955439056357
2,Random Forest,0.7932960893854749,0.7516778523489933,0.7944954128440367
3,Logistic Regression,0.7653631284916201,0.7162162162162162,0.7638925294888598
0,PyTorch NN,0.7821229050279329,0.706766917293233,0.7623197903014416
